date,feature_index,CH4
2026-02-12T00:00:00.000Z,0,
2026-02-17T00:00:00.000Z,0,
2026-02-25T00:00:00.000Z,0,
2026-02-23T00:00:00.000Z,0,
2026-02-24T00:00:00.000Z,0,
2026-02-26T00:00:00.000Z,0,
2026-02-22T00:00:00.000Z,0,
2026-02-21T00:00:00.000Z,0,
2026-02-20T00:00:00.000Z,0,
2026-02-27T00:00:00.000Z,0,
2026-03-26T00:00:00.000Z,0,
2026-03-30T00:00:00.000Z,0,
2026-03-24T00:00:00.000Z,0,
2026-03-31T00:00:00.000Z,0,
2026-03-28T00:00:00.000Z,0,
2026-03-27T00:00:00.000Z,0,
2026-03-25T00:00:00.000Z,0,
2026-03-29T00:00:00.000Z,0,
